name,date_for_local_environment,lon,lat
   1982091S24212,1/04/1982 6:00,-147.9,-24.3
   1982091S10141,3/04/1982 0:00,138.7,-14.5
   1982092S09092,3/04/1982 0:00,97,-8.8
   1982092S21187,3/04/1982 12:00,-164.5,-21.8
   1982095S09158,6/04/1982 0:00,158.7,-7.5
   1982095S01154,6/04/1982 0:00,154.1,0.4
   1982096S27214,7/04/1982 18:00,-143.9,-27.1
   1982097S20211,7/04/1982 12:00,-150.2,-18.9
   1982098S14198,9/04/1982 18:00,-168.9,-8.2
   1982099N05144,9/04/1982 12:00,151.8,2.7
   1982101S26217,12/04/1982 6:00,-142.1,-24.5
   1982102S06109,12/04/1982 18:00,107.8,-9
   1982102S06161,13/04/1982 18:00,158,-5.9
   1982105N04100,15/04/1982 12:00,95,2.7
   1982106N08133,17/04/1982 0:00,135.8,5.2
   1982107S01093,17/04/1982 12:00,93.8,-0.1
   1982108N04165,19/04/1982 6:00,163.4,4.3
   1982109S07137,19/04/1982 6:00,138.9,-9.7
   1982109S02109,20/04/1982 0:00,109,-1.7
   1982109S08144,20/04/1982 6:00,142.7,-9.4
   1982111N06159,22/04/1982 12:00,164.3,0
   1982112S27219,22/04/1982 18:00,-141,-29.5
   1982112S00120,22/04/1982 18:00,120.2,-0.4
   1982113N06093,24/04/1982 0:00,89.6,7.9
   1982114S07128,25/04/1982 18:00,136.9,-6.4
   1982114S29243,25/04/1982 6:00,-109,-29.4
   1982114S18179,25/04/1982 0:00,-177.2,-19.7
   1982114N08154,25/04/1982 12:00,158.1,4.8
   1982115N07088,27/04/1982 0:00,88.5,11.3
   1982116N07179,27/04/1982 12:00,-173.8,6.8
   1982116N05083,27/04/1982 18:00,85.9,9.5
   1982117S14186,27/04/1982 12:00,-173.6,-15.2
   1982117N03161,28/04/1982 18:00,161.8,5.9
   1982119S02166,29/04/1982 12:00,164.9,-3.2
   1982119N10176,30/04/1982 6:00,-179.9,8
   1982119S19205,2/05/1982 6:00,-148.7,-21.3
   1982120N21111,30/04/1982 18:00,112.3,20.2
   1982120N03125,2/05/1982 0:00,126.4,-1.6
   1982120S03165,1/05/1982 18:00,162.1,-5.7
   1982121N10245,2/05/1982 18:00,-114.9,8.8
   1982122N07187,2/05/1982 12:00,-175.1,7.1
   1982122N08206,3/05/1982 18:00,-158.2,7.8
   1982123N09162,3/05/1982 6:00,161.9,8.8
   1982123N07130,4/05/1982 0:00,131.9,4.4
   1982125N09236,6/05/1982 6:00,-126.2,4.8
   1982126N00152,7/05/1982 12:00,153.3,1.2
   1982126N07271,8/05/1982 0:00,-95.9,4.8
   1982126N23196,7/05/1982 6:00,-157.7,25.7
   1982126N06250,7/05/1982 18:00,-112.9,10
   1982127N07261,8/05/1982 0:00,-103.8,7.7
   1982127N04145,8/05/1982 0:00,147.5,3.7
   1982127N05191,8/05/1982 0:00,-168.8,5.1
   1982128N03156,9/05/1982 12:00,161.3,-1
   1982128N08214,8/05/1982 18:00,-145.3,7.2
   1982128N05279,9/05/1982 12:00,-81.7,6.2
   1982128N07156,9/05/1982 6:00,159,9
   1982129N02149,9/05/1982 18:00,151.9,-0.4
   1982129N08271,10/05/1982 18:00,-93.6,5
   1982130N08217,10/05/1982 6:00,-146.5,7
   1982130N08252,10/05/1982 12:00,-111.8,10.1
   1982130N09219,11/05/1982 0:00,-133.5,10.1
   1982130N03162,10/05/1982 18:00,162,2.5
   1982130N06176,11/05/1982 6:00,177.6,6.8
   1982131N12217,13/05/1982 18:00,-159.5,10.3
   1982131N07264,13/05/1982 6:00,-100.7,5.3
   1982131N11134,11/05/1982 18:00,134.1,11.1
   1982132N06266,13/05/1982 12:00,-95.6,6.6
   1982134N07154,14/05/1982 12:00,154.2,5.1
   1982134N09255,14/05/1982 18:00,-108,7.6
   1982134N10105,15/05/1982 12:00,98.2,7.9
   1982134N12110,15/05/1982 6:00,109.1,11.1
   1982134N09207,15/05/1982 12:00,-149.9,9.8
   1982134N16250,15/05/1982 6:00,-110.7,12.6
   1982136N08219,16/05/1982 18:00,-140.1,6.2
   1982136N11273,16/05/1982 12:00,-87.1,10.6
   1982136N10116,17/05/1982 6:00,114.5,12.4
   1982137N04264,19/05/1982 18:00,-94.6,11.4
   1982137N04227,17/05/1982 18:00,-131.8,4.1
   1982138N09122,20/05/1982 0:00,117.9,8.3
   1982140N09206,21/05/1982 0:00,-149.7,7.3
   1982140N09098,20/05/1982 12:00,97.7,9.4
   1982141N05216,21/05/1982 18:00,-142.5,2.2
   1982141N04273,23/05/1982 12:00,-92.4,12.8
   1982142N07104,22/05/1982 18:00,103.3,10.8
   1982143N02085,24/05/1982 0:00,83.6,3.9
   1982143N08210,24/05/1982 0:00,-148.3,8.7
   1982143N12271,24/05/1982 18:00,-90,12.8
   1982144N05266,24/05/1982 6:00,-93.9,5.4
   1982145N02080,26/05/1982 12:00,85.2,7.1
   1982145N14090,28/05/1982 6:00,85.9,9.2
   1982145N08241,26/05/1982 6:00,-120.7,6.8
   1982146N08213,26/05/1982 18:00,-145.3,6.8
   1982146N01097,28/05/1982 6:00,96.8,4.5
   1982147N08179,28/05/1982 12:00,-174.8,5.5
   1982147N09261,28/05/1982 0:00,-92.5,12.8
   1982147N07194,28/05/1982 6:00,-164.2,8.5
   1982147N16096,28/05/1982 12:00,91.5,13.5
   1982148N06144,28/05/1982 0:00,143.6,5.9
   1982148N10269,30/05/1982 6:00,-95.2,15.5
   1982149N06165,29/05/1982 12:00,164.4,3.5
   1982149N24119,30/05/1982 0:00,116.9,21.6
   1982150N02180,30/05/1982 6:00,179.4,2.7
   1982150N06169,30/05/1982 6:00,169,5.9
   1982150N07194,31/05/1982 18:00,-160,5.1
   1982150N26125,31/05/1982 0:00,126.2,25.6
   1982151N06185,31/05/1982 18:00,-175.4,5.7
   1982151N05087,1/06/1982 6:00,91,5.7
   1982152N23119,2/06/1982 6:00,116.8,22.4
   1982153N08093,3/06/1982 0:00,91.6,10.6
   1982153N03174,3/06/1982 12:00,172.1,9.1
   1982153N20116,3/06/1982 18:00,107.2,18.3
   1982153N04276,3/06/1982 18:00,-83.5,5.9
   1982154N08206,5/06/1982 0:00,-170.1,6.4
   1982156N13088,5/06/1982 12:00,88.9,7.7
   1982156N22207,6/06/1982 0:00,-145.1,25.3
   1982156N10175,6/06/1982 0:00,177.9,11.2
   1982156N09163,7/06/1982 0:00,161.9,6.2
   1982157N05091,7/06/1982 0:00,90.4,4.9
   1982157N06221,6/06/1982 18:00,-138.7,5.9
   1982157N05263,6/06/1982 12:00,-96.6,5.1
   1982157N12147,6/06/1982 18:00,146.9,11.4
   1982157N03118,6/06/1982 18:00,117.7,3.3
   1982158N06248,7/06/1982 12:00,-111.4,5.6
   1982158N28289,8/06/1982 0:00,-70.2,27.7
   1982158N09156,8/06/1982 6:00,155.7,10.2
   1982158N24125,9/06/1982 0:00,128.5,25.7
   1982159N11133,8/06/1982 12:00,133.2,11.3
   1982159N10282,10/06/1982 0:00,-82.7,6.2
   1982159N05257,8/06/1982 18:00,-104.2,5.8
   1982159N04197,9/06/1982 0:00,-164.7,2.9
   1982160N18093,9/06/1982 12:00,92.3,19.7
   1982160N07171,9/06/1982 12:00,169.1,6.4
   1982160N08105,10/06/1982 18:00,93.9,14.5
   1982160N09268,10/06/1982 18:00,-91.6,11.2
   1982160N13282,10/06/1982 0:00,-78.3,13.2
   1982160N07135,12/06/1982 0:00,140.6,0.7
   1982160N04240,10/06/1982 18:00,-124.1,6.5
   1982161N26130,11/06/1982 0:00,133.3,26.7
   1982161N09275,11/06/1982 6:00,-88.2,8.2
   1982161N11126,13/06/1982 12:00,112.7,10.2
